premises,expiration,licensee,type,second_location,street_address,city,county,state,zip
35738,2016-06-30,13TH AVE MARKET LLC,O,,410 W 13TH AVE,EUGENE,LANE,OR,97401
53661,2016-06-30,SUN FAMILY INC,F-COM,,898 PEARL ST,EUGENE,LANE,OR,97401
4678,2016-06-30,DON SCARPELLI,O,,1316 ALDER ST,EUGENE,LANE,OR,97401
4676,2016-06-30,ARMAAN ENTERPRISES INC,O,,445 COBURG RD,EUGENE,LANE,OR,97401
4673,2016-06-30,SKURF II INC,O,,588 W 7TH AVE,EUGENE,LANE,OR,97401
14921,2016-06-30,CHAN DUONG,O,,590 E BROADWAY,EUGENE,LANE,OR,97401
3677,2016-06-30,MAINSTAGE THEATRE CO,F-COM,,996 WILLAMETTE ST,EUGENE,LANE,OR,97401
4554,2016-06-30,ALBERTSON'S LLC,O,,311 COBURG RD,EUGENE,LANE,OR,97401
45191,2016-06-30,AUTHENTICA WINES LLC,L,,766 W PARK ST,EUGENE,LANE,OR,97401
45191,2016-06-30,AUTHENTICA WINES LLC,O,,766 W PARK ST,EUGENE,LANE,OR,97401
44382,2016-06-30,BAKER BUTCHER LLC,L,,296 E 5TH ST #201,EUGENE,LANE,OR,97401
41496,2016-06-30,BATES STEAKHOUSE & SALOON INC,F-COM,,433 E BROADWAY,EUGENE,LANE,OR,97401
20277,2016-06-30,BELLY LLC,F-COM,,30 E BROADWAY,EUGENE,LANE,OR,97401
51462,2016-06-30,BELLY LLC,F-COM,,454 WILLAMETTE,EUGENE,LANE,OR,97401
24040,2016-06-30,BI-MART CORP,O,,2510 WILLAKENZIE RD,EUGENE,LANE,OR,97401
50644,2016-06-30,OCTOBER 17 LLC,L,,492 E 13TH,EUGENE,LANE,OR,97401
52386,2016-06-30,OCTOBER 17 LLC,L,,43 W BROADWAY,EUGENE,LANE,OR,97401
45083,2016-06-30,DJ BURGERS INC,F-COM,,201 E 13TH AVE,EUGENE,LANE,OR,97401
51193,2016-06-30,BJ'S RESTAURANT OPERATIONS COMPANY,F-COM,,1080 VALLEY RIVER WAY,EUGENE,LANE,OR,97401
51192,2016-06-30,BJ'S RESTAURANT OPERATIONS COMPANY,O,,1080 VALLEY RIVER WAY,EUGENE,LANE,OR,97401
50281,2016-06-30,YOON S BIGOT LLC,L,,153 E BROADWAY,EUGENE,LANE,OR,97401
43494,2016-06-30,BRAILS RESTAURANT INC,F-COM,,1689 WILLAMETTE ST,EUGENE,LANE,OR,97401
42362,2016-06-30,THABET MANAGEMENT INC,O,,11 COBURG RD,EUGENE,LANE,OR,97401
52396,2016-06-30,THABET MANAGEMENT INC,O,,110 W BROADWAY,EUGENE,LANE,OR,97401
45247,2016-06-30,MARNTOD CONCEPTS LLC,F-COM,,450 COBURG RD #208,EUGENE,LANE,OR,97401
9163,2016-06-30,CAFE SORIAH LLC,F-COM,,384 W 13TH AVE,EUGENE,LANE,OR,97401
28661,2016-06-30,CY MERIDIAN LLC,L,,1801 WILLAMETTE ST #140,EUGENE,LANE,OR,97401
36429,2016-06-30,CY OAKWAY LLC,L,,130 OAKWAY CTR,EUGENE,LANE,OR,97401
42390,2016-06-30,CY BROADWAY LLC,L,,730 E BROADWAY,EUGENE,LANE,OR,97401
42013,2016-06-30,CY DELTA LLC,L,,1005 GREEN ACRES RD,EUGENE,LANE,OR,97401
51908,2016-06-30,CAPITELLO WINES LLC,WY,219992,540 CHARNELTON ST,EUGENE,LANE,OR,97401
22595,2016-06-30,COMMUNITY CTR FOR PERFORM ARTS,L,,291 W EIGHTH AVE,EUGENE,LANE,OR,97401
36271,2016-06-30,CHAPALA MEXICAN RESTAURANT OAKWAY INC,F-COM,,136 OAKWAY CENTER,EUGENE,LANE,OR,97401
45244,2016-06-30,CHIPOTLE MEXICAN GRILL INC,F-COM,,460 COBURG RD #302,EUGENE,LANE,OR,97401
15741,2016-06-30,CIRCLE K STORES INC,O,,296 E 13TH ST,EUGENE,LANE,OR,97401
44935,2016-06-30,P.A.N. INCORPORATED,F-COM,,207 E 5TH AVE #109,EUGENE,LANE,OR,97401
4640,2016-06-30,CORNUCOPIA BOTTLE MARKET LINCOLN INC,F-COM,,295 W 17TH AVE,EUGENE,LANE,OR,97401
4640,2016-06-30,CORNUCOPIA BOTTLE MARKET LINCOLN INC,O,,295 W 17TH AVE,EUGENE,LANE,OR,97401
35948,2016-06-30,COST PLUS INC,O,,1011 VALLEY RIVER WY #101,EUGENE,LANE,OR,97401
19172,2016-06-30,COSTCO WHOLESALE CORP,O,,2828 CHAD DR,EUGENE,LANE,OR,97401
54402,2016-06-30,YI FAMILY LLC,O,,1659 HILYARD ST,EUGENE,LANE,OR,97401
46784,2016-06-30,COWFISH LLC,F-COM,,62 W BROADWAY,EUGENE,LANE,OR,97401
37414,2016-06-30,COZMIC CAFE LLC,L,,199 W 8TH AVE,EUGENE,LANE,OR,97401
4606,2016-06-30,DARI-MART STORES INC,O,,1645 COBURG RD,EUGENE,LANE,OR,97401
4580,2016-06-30,DARI-MART STORES INC,O,,1175 CAL YOUNG RD,EUGENE,LANE,OR,97401
25144,2016-06-30,94 WEST INC,F-COM,,94 W BROADWAY,EUGENE,LANE,OR,97401
47014,2016-06-30,DIAMOND CONCESSIONS INC,F-PL,,2760 MLK JR BLVD,EUGENE,LANE,OR,97401
36296,2016-06-30,DJ BURGERS INC,F-COM,,1079 B & C VALLEY RIVER WAY,EUGENE,LANE,OR,97401
13688,2016-06-30,GK MILLER INC,F-COM,,710 WILLAMETTE ST,EUGENE,LANE,OR,97401
52684,2016-06-30,THREE HANDS INC,O,,401 W 11TH AVE,EUGENE,LANE,OR,97401
37900,2016-06-30,KIM'S GROCERIES INC,O,,115 COMMONS DR,EUGENE,LANE,OR,97401
4641,2016-06-30,SUKHPAUL MAROKE,O,,395 W 11TH AVE,EUGENE,LANE,OR,97401
53569,2016-06-30,THE ELK HORN BREWERY LLC,BP,,686 E BROADWAY,EUGENE,LANE,OR,97401
53568,2016-06-30,ELK HORN BREWERY LLC,WY,223468,686 E BROADWAY,EUGENE,LANE,OR,97401
3628,2016-06-30,EUGENE COUNTRY CLUB,F-CLU,,255 COUNTRY CLUB RD,EUGENE,LANE,OR,97401
11780,2016-06-30,EUGENE SWIM & TENNIS CLUB,L,,2766 CRESCENT AVE,EUGENE,LANE,OR,97401
3653,2016-06-30,EXCELSIOR INNS INC,F-COM,,754 E 13TH AVE,EUGENE,LANE,OR,97401
49152,2016-06-30,FALLING SKY BREWING LLC,BP,,1334 OAK ALLEY,EUGENE,LANE,OR,97401
49152,2016-06-30,FALLING SKY BREWING LLC,F-COM,,1334 OAK ALLEY,EUGENE,LANE,OR,97401
50972,2016-06-30,FIRST NATIONAL TAP HOUSE LLC,O,,51 W BROADWAY,EUGENE,LANE,OR,97401
50973,2016-06-30,FIRST NATIONAL TAP HOUSE LLC,F-COM,,51 W BROADWAY,EUGENE,LANE,OR,97401
40859,2016-06-30,FLAVORS CATERING & EVENTS LLC,F-COM,,2000 CAL YOUNG RD,EUGENE,LANE,OR,97401
41957,2016-06-30,GLENWOOD RESTAURANTS INC,L,,1340 ALDER ST,EUGENE,LANE,OR,97401
4697,2016-06-30,RENEGADE INVESTMENTS INC,F-COM,,375 E 7TH AVE,EUGENE,LANE,OR,97401
43451,2016-06-30,FEDERIGO'S INC,F-COM,,259 E 5TH AVE,EUGENE,LANE,OR,97401
54337,2016-06-30,YOUNG CHAN OH,F-COM,,959 PEARL ST,EUGENE,LANE,OR,97401
51187,2016-06-30,GROWLER NATION INC,L,,440 COBURG RD #102,EUGENE,LANE,OR,97401
51187,2016-06-30,GROWLER NATION INC,O,,440 COBURG RD #102,EUGENE,LANE,OR,97401
54355,2016-06-30,TREE HOUSE 6  LLC,F-PC,,44 E 7TH AVE,EUGENE,LANE,OR,97401
53375,2016-06-30,HIGGINS PETROLEUM INC,O,,1796 WILLAMETTE ST,EUGENE,LANE,OR,97401
18418,2016-06-30,MCMENAMIN'S INC,F-COM,,1243 HIGH ST,EUGENE,LANE,OR,97401
18418,2016-06-30,MCMENAMIN'S INC,BP,,1243 HIGH ST,EUGENE,LANE,OR,97401
10352,2016-06-30,DAVIDSON HOTEL COMPANY LLC,F-COM,,66 E 6TH AVE,EUGENE,LANE,OR,97401
4683,2016-06-30,CHUCK YU,O,,1698 HILYARD ST,EUGENE,LANE,OR,97401
